名称,カナ,画像ファイル,区,郵便番号,所在地,緯度,経度,電話番号,URL,設置主体,定員,対象年齢[受入],対象年齢[最終],休園日,開所時間,閉所時間,入所に必要な認定区分,備考
あかり,アカリ,,中区,432-8023,浜松市中区鴨江二丁目34-52,34.72819236,137.6909993,(090)5857-3398,https://musubi-hamamatsu.com/akari/,,,,,,,,,
浜松きりかぶ幼児園,ハママツキリカブヨウジエン,,中区,432-8021,浜松市中区佐鳴台三丁目26-37,34.769801,137.735586,(053)482-8807,https://hamamatsukirikabu.localinfo.jp/,,,,,,,,,
Hug Me International School,ハグミ―インターナショナルスクール,,中区,432-8031,浜松市中区平田町108　平田ホワイトビル1階2階,34.694383,137.630714,(053)488-8780,https://hugme-is.co.jp/,,,,,,,,,
はままつ森のようちえん　森のこどもたち,ハママツモリノヨウチエンモリノコドモタチ,,天竜区,431-3425,浜松市天竜区青谷1402-2,34.673251,137.724858,(090)8050-4746,https://www.h-morinokodomotachi.com/,,,,,,,,,
上島キッズスクエア,カミジマキッズスクエア,,中区,433-8122,浜松市中区上島三丁目1-3,34.740726,137.724405,(053)433-5675,,,,,,,,,,
第2つばめ保育園,ダイニツバメホイクエン,,東区,431-3123,浜松市東区有玉西町2197-2,34.691922,137.770345,(053)571-1148,http://www2.wbs.ne.jp/~carenet/riyouryou.html,,,,,,,,,
