,名称,カナ,郵便番号,区,所在地_住所1,所在地_住所2,緯度,経度,電話,URL,開催日,開催時間,利用料 ,駐車場 
1,北星児童館,,4338109,中区,浜松市中区花川町1977,,34.773417,137.685222,(053)436-0302,,"月～土
※日曜・祝日・振替休日・年末年始(12月29日～1月3日)はお休み",9：00～17：00,無料,無し
2,江西児童館,,4328046,中区,浜松市中区春日町41-1,,34.689879,137.725282,(053)441-2588,,"月～土
※日曜・祝日・振替休日・年末年始(12月29日～1月4日)はお休み",9：00～17：00,無料,無し
3,三ケ日児童館,,4311404,北区,浜松市北区三ケ日町宇志803,,34.806059,137.558685,(053)524-2929,http://mjidoukan.exblog.jp/,"月～土
※日曜・祝日・振替休日・年末年始(12月29日～1月5日)はお休み",9：00～17：00,無料,共用
4,天竜児童館,,4313313,天竜区,浜松市天竜区二俣町鹿島530-1,,34.848844,137.809885,(053)926-1532,,"月～土
※日曜・祝日・振替休日・年末年始(12月29日～1月6日)はお休み",9：00～17：00,無料,10台　※児童館西側約50ｍ
