名称,カナ,画像ファイル,区,郵便番号,所在地,緯度,経度,電話番号,URL,設置主体,定員,備考
エスコラ　アウカンセ,エスコラアウカンセ,,中区,432-8002,浜松市中区富塚町3002-3,34.7027757,137.7132107,(053)543-6280,,,,
イーエーエス浜松保育所,イーエーエスハママツホイクショ,,東区,431-3125,浜松市東区半田山二丁目24-3,34.704565,137.697309,(053)540-2022,,,,
ムンドエンカンタード,ムンドエンカンタード,,西区,431-0102,浜松市西区雄踏町宇布見9611-1,34.701972,137.730042,(053)482-7668,,,,
コレジオ　アルテナチヴァ,コレジオアルテナチヴァ,,南区,432-8055,浜松市南区卸本町62,34.870241,137.782003,(053)589-4589,,,,
クレッシェ　マターナル レイノ　デ　アレグリア,クレッシェマターナル レイノデアレグリア,,中区,433-8123,浜松市中区幸一丁目12-15,34.738171,137.743971,(053)522-7445,,,,
クレッシェ　ラピス　デ　コル,クレッシェラピスデコル,,南区,435-0033,浜松市南区石原町611,34.752458,137.735907,(080)4222-2057,,,,
